Módulo de Análise: Origem de Dados da Coleta;;;;;;;;;
Data de solicitação 26/02/2020;;;;;;;;;
Período Solicitado de 01/01/2020 até 31/01/2020;;;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Reativa C (kVArh);Reativa G (kVArh);Qualidade;Origem
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;14;144,664;0;69,889;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;15;151,671;0;77,057;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;16;154,258;0;81,854;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;17;137,925;0;70,15;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;18;143,333;0;71,155;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;19;143,837;0;72,291;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;20;129,627;0;63,052;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;21;131,142;0;64,899;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;22;131,667;0;67,806;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;23;103,486;0;60,02;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;24;102,764;0;61,686;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;1;97,926;0;63,054;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;2;96,237;0;56,099;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;3;94,681;0;56,653;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;4;93,574;0;55,852;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;5;90,154;0;54,025;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;6;96,654;0;52,607;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;7;98,933;0;55,968;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;8;133,071;0;63,089;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;9;137,026;0;69,106;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;10;142,763;0;71,322;0;Completo;COLETA DIÁRIA
