Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: BARBOSA 1;;;;;;;;;;
Periodo Solicitado de 01/12/2019 até 31/12/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
SPASKCENTR101;09/12/2019;9;Liquida;0;95,232;0;43,616;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;10;Liquida;0;95,088;0;44,016;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;11;Liquida;0;105,152;0;44,432;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;12;Liquida;0;99,968;0;44,928;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;13;Liquida;0;104,432;0;48,176;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;14;Liquida;0;107,824;0;48,56;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;15;Liquida;0;102,832;0;46,576;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;16;Liquida;0;96,944;0;47,056;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;17;Liquida;0;96,8;0;47,088;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;18;Liquida;0;90,336;0;43,328;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;19;Liquida;0;90,32;0;42,368;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;20;Liquida;0;92,16;0;43,536;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;21;Liquida;0;88,08;0;43,28;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;22;Liquida;0;89,216;0;39,984;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;23;Liquida;0;87,44;0;36,176;0;Hora Completa Consistente;Consistido
SPASKCENTR101;09/12/2019;24;Liquida;0;77,376;0;32,08;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;1;Liquida;0;70,928;0;29,68;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;2;Liquida;0;82,016;0;35,28;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;3;Liquida;0;78,544;0;32,4;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;4;Liquida;0;74,272;0;31,152;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;5;Liquida;0;77,808;0;31,808;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;6;Liquida;0;84,752;0;34,176;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;7;Liquida;0;92,496;0;42,848;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;8;Liquida;0;102,768;0;47,136;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;9;Liquida;0;94,192;0;42,048;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;10;Liquida;0;98,368;0;45,152;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;11;Liquida;0;105,824;0;50,288;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;12;Liquida;0;104,096;0;49,28;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;13;Liquida;0;95,616;0;44,928;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;14;Liquida;0;103,248;0;47,312;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;15;Liquida;0;103,216;0;48,288;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;16;Liquida;0;97,68;0;46,592;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;17;Liquida;0;96,416;0;45,968;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;18;Liquida;0;91,52;0;43,52;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;19;Liquida;0;90,544;0;41,744;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;20;Liquida;0;89,36;0;42,688;0;Hora Completa Consistente;Consistido
SPASKCENTR101;10/12/2019;21;Liquida;0;90,16;0;42,976;0;Hora Completa Consistente;Consistido
